Airline,Duration,Total stops,Price,Date,Source,Destination
Gulf Air,12h 10m,1 stop,"₹ 21,030",2023-06-01,CCJ,DXB
Gulf Air,14h 10m,1 stop,"₹ 21,031",2023-06-01,CCJ,DXB
Gulf Air,16h 15m,1 stop,"₹ 21,039",2023-06-01,CCJ,DXB
IndiGo,13h 55m,1 stop,"₹ 21,958",2023-06-01,CCJ,DXB
"Qatar Airways, flydubai",10h 05m,1 stop,"₹ 49,131",2023-06-01,CCJ,DXB
IndiGo,18h 45m,1 stop,"₹ 12,629",2023-06-01,CCJ,DXB
IndiGo,27h 05m,1 stop,"₹ 13,984",2023-06-01,CCJ,DXB
IndiGo,21h 05m,1 stop,"₹ 15,259",2023-06-01,CCJ,DXB
Oman Air,19h 45m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
Oman Air,21h 10m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
Oman Air,25h 20m,1 stop,"₹ 15,685",2023-06-01,CCJ,DXB
Oman Air,26h 25m,1 stop,"₹ 15,685",2023-06-01,CCJ,DXB
Oman Air,26h 55m,1 stop,"₹ 15,685",2023-06-01,CCJ,DXB
IndiGo,26h 45m,1 stop,"₹ 16,882",2023-06-01,CCJ,DXB
"Air India, Vistara",24h 55m,1 stop,"₹ 18,336",2023-06-01,CCJ,DXB
Gulf Air,18h 35m,1 stop,"₹ 21,041",2023-06-01,CCJ,DXB
Gulf Air,24h 20m,1 stop,"₹ 21,047",2023-06-01,CCJ,DXB
IndiGo,22h 55m,1 stop,"₹ 21,050",2023-06-01,CCJ,DXB
Gulf Air,29h 30m,1 stop,"₹ 21,057",2023-06-01,CCJ,DXB
Air India,24h 35m,1 stop,"₹ 25,656",2023-06-01,CCJ,DXB
Air India,28h 35m,1 stop,"₹ 26,233",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 36,964",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 36,964",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 36,964",2023-06-01,CCJ,DXB
Air India,29h 05m,2 stops,"₹ 38,938",2023-06-01,CCJ,DXB
Air India,29h 05m,2 stops,"₹ 38,938",2023-06-01,CCJ,DXB
Qatar Airways,18h 45m,1 stop,"₹ 45,986",2023-06-01,CCJ,DXB
Qatar Airways,18h 45m,1 stop,"₹ 45,986",2023-06-01,CCJ,DXB
Qatar Airways,25h 05m,1 stop,"₹ 45,986",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 46,502",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 46,502",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 46,502",2023-06-01,CCJ,DXB
Air India,25h 40m,3 stops,"₹ 46,502",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 47,548",2023-06-01,CCJ,DXB
